#NVAR: 8
#VARNAMES: ROW  MJD Duration PWV PWV_ERR Pressure Temp Tdelay

# Suominet file: CTIO_2013global.plt 
ROW: 20130811/1614  56515.67708  30  3.9  1.1  782.0  14.3  1808.7 
ROW: 20130811/1645  56515.69792  30  4.6  0.8  782.0  14.2  1813.0 
ROW: 20130811/1715  56515.71875  30  5.0  0.4  781.1  13.8  1813.8 
ROW: 20130811/1744  56515.73958  30  5.0  0.4  781.0  13.2  1813.6 
ROW: 20130811/1815  56515.76042  30  5.6  0.3  781.0  13.9  1817.2 
ROW: 20130811/1845  56515.78125  30  5.8  0.7  780.1  12.4  1816.4 
ROW: 20130811/1914  56515.80208  30  5.8  0.9  780.0  12.5  1816.1 
ROW: 20130811/1945  56515.82292  30  5.9  0.6  780.0  13.4  1816.7 
ROW: 20130811/2015  56515.84375  30  5.9  0.4  780.0  13.6  1817.1 
ROW: 20130811/2044  56515.86458  30  6.2  0.5  780.0  12.7  1818.7 
ROW: 20130811/2115  56515.88542  30  5.3  0.4  780.0  12.9  1813.2 
ROW: 20130811/2145  56515.90625  30  5.9  0.4  780.0  11.7  1817.0 
ROW: 20130811/2214  56515.92708  30  6.0  0.4  780.0  10.7  1817.9 
ROW: 20130811/2245  56515.94792  30  5.3  0.5  780.2  9.9  1813.5 
ROW: 20130811/2315  56515.96875  30  4.9  0.5  780.0  9.9  1811.1 
ROW: 20130811/2344  56515.98958  30  6.2  0.8  780.0  9.2  1819.0 
ROW: 20130812/0015  56516.01042  30  8.3  0.6  780.0  9.7  1832.6 
ROW: 20130812/0045  56516.03125  30  6.5  0.6  780.0  9.6  1820.8 
ROW: 20130812/0114  56516.05208  30  5.8  0.7  780.0  9.6  1816.7 
ROW: 20130812/0145  56516.07292  30  7.6  0.5  780.0  9.0  1828.0 
ROW: 20130812/0215  56516.09375  30  7.7  0.4  780.0  8.7  1828.8 
ROW: 20130812/0244  56516.11458  30  7.0  0.4  780.0  8.7  1824.6 
ROW: 20130812/0315  56516.13542  30  7.5  0.6  780.0  7.9  1827.4 
